/accounting/period-closing                                   | auth=0 | cap=0 | admin=0 | ws_filter=12 | 
/accounting/vouchers/auto-create                             | auth=2 | cap=0 | admin=2 | ws_filter=17 | 
/accounting/vouchers/create                                  | auth=0 | cap=0 | admin=0 | ws_filter=7 | 
/ai-settings                                                 | auth=3 | cap=0 | admin=3 | ws_filter=3 | 
/ai-workflow/execute                                         | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/ai/edit-image                                               | auth=2 | cap=0 | admin=0 | ws_filter=0 | 
/ai/generate-itinerary-copy                                  | auth=2 | cap=0 | admin=0 | ws_filter=0 | 
/ai/suggest-attraction                                       | auth=2 | cap=0 | admin=0 | ws_filter=0 | 
/airports                                                    | auth=2 | cap=0 | admin=2 | ws_filter=0 | 
/amadeus-totp/current                                        | auth=2 | cap=0 | admin=2 | ws_filter=0 | 
/amadeus-totp                                                | auth=2 | cap=0 | admin=2 | ws_filter=0 | 
/amadeus-totp/setup                                          | auth=2 | cap=0 | admin=2 | ws_filter=0 | 
/auth/change-password                                        | auth=2 | cap=0 | admin=2 | ws_filter=1 | 
/auth/layout-context                                         | auth=0 | cap=0 | admin=0 | ws_filter=2 | 
/auth/logout                                                 | auth=0 | cap=0 | admin=0 | ws_filter=0 | public
/auth/reset-employee-password                                | auth=2 | cap=0 | admin=2 | ws_filter=5 | 
/auth/sync-employee                                          | auth=0 | cap=0 | admin=2 | ws_filter=11 | public
/auth/validate-login                                         | auth=0 | cap=0 | admin=2 | ws_filter=2 | public
/bank-accounts                                               | auth=0 | cap=0 | admin=0 | ws_filter=2 | 
/bot-notification                                            | auth=0 | cap=0 | admin=2 | ws_filter=7 | 
/bot/ticket-status                                           | auth=0 | cap=0 | admin=4 | ws_filter=18 | 
/contracts/[id]/pdf                                          | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/contracts/create                                            | auth=0 | cap=0 | admin=0 | ws_filter=1 | 
/contracts/list                                              | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/contracts/members                                           | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/contracts/paper-sign                                        | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/contracts/sign                                              | auth=0 | cap=0 | admin=2 | ws_filter=0 | public
/cron/process-tasks                                          | auth=0 | cap=0 | admin=0 | ws_filter=0 | public
/cron/ticket-status                                          | auth=0 | cap=0 | admin=2 | ws_filter=0 | public
/customers/by-line                                           | auth=0 | cap=0 | admin=2 | ws_filter=2 | public
/customers/match                                             | auth=0 | cap=0 | admin=2 | ws_filter=1 | public
/d/[code]                                                    | auth=0 | cap=0 | admin=3 | ws_filter=1 | public
/employees/by-ref/[ref]                                      | auth=2 | cap=0 | admin=3 | ws_filter=5 | 
